2020-01-17 22:25:33.308 [pool-6-thread-1] INFO  com.process.boot.config.fs.FileSystemListener - ===================
2020-01-17 22:25:33.308 [pool-6-thread-1] INFO  com.process.boot.config.fs.FileSystemListener - 文件监控启动成功！
2020-01-17 22:25:33.309 [pool-6-thread-1] INFO  com.process.boot.config.fs.FileSystemListener - ===================
2020-01-17 22:25:33.335 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 10088 (http) with context path ''
2020-01-17 22:25:33.340 [main] INFO  com.process.boot.XbootApplication - Started XbootApplication in 10.882 seconds (JVM running for 15.438)
2020-01-17 22:25:33.568 [RMI TCP Connection(1)-127.0.0.1] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2020-01-17 22:25:33.574 [RMI TCP Connection(2)-127.0.0.1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-01-17 22:25:33.574 [RMI TCP Connection(2)-127.0.0.1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-01-17 22:25:33.586 [RMI TCP Connection(2)-127.0.0.1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 12 ms
2020-01-17 22:25:33.627 [RMI TCP Connection(1)-127.0.0.1] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#a0e4fa6:0/SimpleConnection@56ebbc3e [delegate=amqp://admin@127.0.0.1:5672/, localPort= 53098]
2020-01-17 22:25:33.963 [parallel-1] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-01-17 22:25:33.966 [parallel-1] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2020-01-17 22:25:35.012 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:25:35
2020-01-17 22:25:40.002 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:25:40
2020-01-17 22:25:45.006 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:25:45
2020-01-17 22:25:50.002 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:25:50
2020-01-17 22:25:55.001 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:25:55
2020-01-17 22:26:00.008 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:26:00
2020-01-17 22:26:05.005 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:26:05
2020-01-17 22:26:10.003 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:26:10
2020-01-17 22:26:15.003 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:26:15
2020-01-17 22:26:20.004 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:26:20
2020-01-17 22:26:25.008 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:26:25
2020-01-17 22:26:30.004 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:26:30
2020-01-17 22:26:35.003 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:26:35
2020-01-17 22:26:40.007 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:26:40
2020-01-17 22:26:45.001 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:26:45
2020-01-17 22:26:50.001 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:26:50
2020-01-17 22:26:55.004 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:26:55
2020-01-17 22:27:00.001 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:27:00
2020-01-17 22:27:05.004 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:27:05
2020-01-17 22:27:10.002 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:27:10
2020-01-17 22:27:15.002 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:27:15
2020-01-17 22:27:20.008 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:27:20
2020-01-17 22:27:25.004 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:27:25
2020-01-17 22:27:30.000 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:27:30
2020-01-17 22:27:35.115 [scheduling-1] INFO  com.process.boot.config.schedule.SpringCronTest - every 5 seconds execute task，now:2020-01-17 22:27:35
2020-01-17 22:27:51.717 [quartzScheduler_QuartzSchedulerThread] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-01-17 22:27:51.731 [quartzScheduler_QuartzSchedulerThread] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14ms. Found 0 repository interfaces.
2020-01-17 22:27:51.743 [quartzScheduler_QuartzSchedulerThread] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-01-17 22:27:51.754 [quartzScheduler_QuartzSchedulerThread] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11ms. Found 0 repository interfaces.
2020-01-17 22:29:01.717 [quartzScheduler_QuartzSchedulerThread] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-01-17 22:29:01.731 [quartzScheduler_QuartzSchedulerThread] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14ms. Found 0 repository interfaces.
2020-01-17 22:29:01.745 [quartzScheduler_QuartzSchedulerThread] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-01-17 22:29:01.757 [quartzScheduler_QuartzSchedulerThread] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12ms. Found 0 repository interfaces.
2020-01-17 22:33:14.645 [rebel-change-detector-thread] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-01-17 22:33:14.658 [rebel-change-detector-thread] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13ms. Found 0 repository interfaces.
2020-01-17 22:33:14.670 [rebel-change-detector-thread] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-01-17 22:33:14.682 [rebel-change-detector-thread] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12ms. Found 0 repository interfaces.
2020-01-17 22:34:39.565 [http-nio-10088-exec-1] INFO  com.process.boot.mq.MqController - controller接收到的data===>abb1<===
2020-01-17 22:35:07.744 [http-nio-10088-exec-3] INFO  com.process.boot.mq.MqController - controller接收到的data===>abb2<===
2020-01-17 22:42:30.503 [http-nio-10088-exec-4] INFO  com.process.boot.mq.MqController - controller接收到的data===>abb2<===
2020-01-17 22:42:33.842 [http-nio-10088-exec-4] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2020-01-17 22:42:33.850 [http-nio-10088-exec-4] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#a0e4fa6:1/SimpleConnection@233237f5 [delegate=amqp://admin@127.0.0.1:5672/, localPort= 53559]
2020-01-17 22:43:43.522 [http-nio-10088-exec-6] INFO  com.process.boot.mq.MqController - controller接收到的data===>abb3<===
2020-01-17 22:43:49.262 [http-nio-10088-exec-8] INFO  com.process.boot.mq.MqController - controller接收到的data===>abb4<===
2020-01-17 22:43:52.160 [http-nio-10088-exec-10] INFO  com.process.boot.mq.MqController - controller接收到的data===>abb5<===
2020-01-17 22:43:57.897 [http-nio-10088-exec-2] INFO  com.process.boot.mq.MqController - controller接收到的data===>abb6<===
2020-01-17 22:44:01.950 [http-nio-10088-exec-4] INFO  com.process.boot.mq.MqController - controller接收到的data===>abb7<===
2020-01-17 22:44:05.354 [http-nio-10088-exec-6] INFO  com.process.boot.mq.MqController - controller接收到的data===>abb8<===
2020-01-17 22:44:07.742 [http-nio-10088-exec-8] INFO  com.process.boot.mq.MqController - controller接收到的data===>abb9<===
2020-01-17 22:44:10.471 [http-nio-10088-exec-10] INFO  com.process.boot.mq.MqController - controller接收到的data===>abb10<===
2020-01-17 22:46:41.716 [quartzScheduler_QuartzSchedulerThread] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-01-17 22:46:41.730 [quartzScheduler_QuartzSchedulerThread] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13ms. Found 0 repository interfaces.
2020-01-17 22:46:41.742 [quartzScheduler_QuartzSchedulerThread] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-01-17 22:46:41.752 [quartzScheduler_QuartzSchedulerThread] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9ms. Found 0 repository interfaces.
2020-01-17 23:01:28.225 [Thread-48] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2020-01-17 23:01:28.502 [Thread-48] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2020-01-17 23:01:28.502 [Thread-48] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED paused.
2020-01-17 23:01:28.510 [Thread-48] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2020-01-17 23:01:28.510 [Thread-48] INFO  o.s.scheduling.quartz.SchedulerFactoryBean - Shutting down Quartz Scheduler
2020-01-17 23:01:28.510 [Thread-48] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED shutting down.
2020-01-17 23:01:28.511 [Thread-48] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED paused.
2020-01-17 23:01:28.511 [Thread-48] INFO  org.quartz.core.QuartzScheduler - Scheduler quartzScheduler_$_NON_CLUSTERED shutdown complete.
2020-01-17 23:01:28.514 [Thread-48] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
2020-01-17 23:01:28.514 [Thread-48] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-01-17 23:01:28.516 [Thread-48] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
